#Table1
objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1237648702984683605,225.005458230596,-1.09107211264564,16.32475,15.41002,15.00167,14.84394,14.72891,1038170464519743488,GALAXY,0.006297647
1237648702984749117,225.134643522128,-1.2346711263038,17.77235,16.60964,16.73945,16.84984,16.95081,349097723984635904,STAR,4.671613E-05
1237648702984749288,225.157131478848,-1.07399886372726,19.13368,17.17648,16.12352,15.66259,15.27726,349099648129984512,GALAXY,0.111066
1237648702984945995,225.671197511131,-1.10592595555715,18.7501,16.81842,15.94924,15.5382,15.21549,349085354478823424,GALAXY,0.04896335
1237648702985142490,226.033198337915,-1.20211106810485,18.94942,17.55173,16.97975,16.63628,16.44447,349062814490454016,GALAXY,0.0489473
1237648702985142532,226.062747157663,-1.05184384521973,18.69559,17.79957,17.47664,17.26259,17.13467,349063089368360960,GALAXY,0.03721606
1237648702985207970,226.270372772523,-1.10971829257387,19.48274,17.40926,16.40999,16.03386,15.69833,349053193763710976,GALAXY,0.03695014
1237648702985208250,226.213104097661,-1.10547965933397,19.13487,18.07283,17.60269,17.33822,17.18361,349051544496269312,GALAXY,0.03610019
1237648702985339021,226.564272903102,-1.14270042876201,17.8036,16.74977,16.56732,16.496,16.54162,349042473525340160,STAR,0.0001434159
1237648702985404496,226.663842366663,-1.10637961529826,18.74409,16.78402,15.87356,15.43929,15.11899,349040274502084608,GALAXY,0.04922194
1237648702985404509,226.688023672703,-1.23171468413669,17.38196,15.35265,14.33847,13.85383,13.43547,350232139653998592,GALAXY,0.07114076
1237648702985404672,226.608765155897,-1.19279249983475,19.43731,17.5745,16.67424,16.2035,15.83954,349042748403247104,GALAXY,0.07065763
1237648702985404785,226.725833398453,-1.12649242563775,19.21864,17.44243,16.5437,16.10794,15.81043,349030653775341568,GALAXY,0.07012011
1237648702985470041,226.776725350604,-1.14843632558288,17.35155,16.4754,16.73235,16.87546,17.05527,349029279385806848,STAR,0.0004766897
1237648702985470344,226.864409499927,-1.05579644264859,19.28506,17.77808,16.98557,16.53222,16.24195,349030928653248512,GALAXY,0.07001241
1237648702985470445,226.828858225497,-1.2001357871194,19.34628,18.15885,17.73378,17.53683,17.45547,1038236435217410048,GALAXY,0.06753261
1237648702985535515,226.925174083675,-1.14300260940879,19.4294,17.6902,17.01813,17.07368,16.64288,350221144537720832,STAR,4.112253E-05
1237648702985601390,227.122590125715,-1.22071948308308,19.49383,17.49728,16.51329,16.06234,15.73697,1039298013324929024,GALAXY,0.07933845
1237648702985601515,227.116316889509,-1.20789631679475,18.43549,16.9275,16.20772,15.79527,15.54946,1038239183996479488,GALAXY,0.05488245
1237648702985601533,227.13645936699,-1.22927785275627,18.99107,17.65913,17.02193,16.62654,16.37606,1039298837958649856,GALAXY,0.07885005
1237648702985666603,227.199470179765,-1.17308224631259,18.8154,16.83932,15.92921,15.49269,15.20802,350224717950511104,GALAXY,0.05495768
1237648702985797941,227.547401241492,-1.19531493935969,18.43055,16.40934,15.45014,15.0094,14.65738,1039296913813301248,GALAXY,0.07084415
1237648702985797942,227.550387209445,-1.1908948977814,18.8075,16.77878,15.84043,15.41671,15.08839,350190633090050048,GALAXY,0.07015107
1237648702985798060,227.546492062174,-1.24632429763035,19.1075,17.8144,17.27046,16.99206,16.82328,350189808456329216,GALAXY,0.03653381
1237648702985863176,227.64800862968,-1.11360257608156,19.30625,18.17709,17.72769,17.55409,17.46221,350193381869119488,STAR,0.0001234403
1237648702985863457,227.702357405513,-1.06250574480919,18.20624,16.17735,15.24627,14.81424,14.46263,1039297463569115136,GALAXY,0.05415484
1237648702985929077,227.855470267498,-1.12302591319807,19.17076,17.95136,17.4387,17.15449,17.03698,1039307359173765120,GALAXY,0.05414075
1237648702985929339,227.860394042863,-1.09660380503518,18.75701,17.56482,17.01387,16.70881,16.55877,1039306534540044288,GALAXY,0.0546956
1237648702985994607,228.063263256333,-1.08078070704673,18.82333,16.95348,16.09559,15.67359,15.34605,1039305435028416512,GALAXY,0.03387914
1237648702986059806,228.084388662439,-1.05953468886795,18.98538,17.98505,17.62531,17.49755,17.44585,1039306809417951232,STAR,3.278124E-07
1237648702986060074,228.191330889378,-1.19534556866837,17.47096,16.06647,15.35018,14.97818,14.64058,1039319453801670656,GALAXY,0.03688883
1237648702986125622,228.284328211847,-1.11179003507283,19.08193,17.37774,16.43637,16.00471,15.64729,351362712887912448,GALAXY,0.1212525
1237648702986191206,228.515581208202,-1.21193187308877,19.3117,17.63163,16.74585,16.27796,15.91552,351358314841401344,GALAXY,0.05091307
1237648702986256396,228.542546527366,-1.15280033057845,17.59855,16.24326,15.6902,15.45815,15.35438,351362987765819392,STAR,0.0003756671
1237648702986322339,228.80053884085,-1.1202022534176,19.48964,17.7878,16.76906,16.25883,15.85292,351349518748379136,GALAXY,0.1443409
1237648702986518841,229.221010671229,-1.10656263563318,19.44976,17.69549,16.69836,16.21575,15.83948,4519396405383196672,GALAXY,0.1142389
1237648702986518874,229.241994309001,-1.11078767496966,19.0031,16.73369,15.56604,15.05758,14.64233,351314334376290304,GALAXY,0.1168575
1237648702986519029,229.206766057431,-1.09369333418363,19.48101,18.02934,17.40836,17.05755,16.90644,351316533399545856,GALAXY,0.05079332
1237648702987108768,230.546029090062,-1.0969433831142,19.26552,17.86827,17.10056,16.69467,16.41392,352474593753065472,GALAXY,0.09454953
1237648702987239739,230.821030351393,-1.04819010539074,18.86317,17.24454,16.46069,16.05871,15.75418,352463598636787712,GALAXY,0.02789364
1237648702987370765,231.085153283336,-1.07664531011959,19.49396,17.72147,16.6914,16.24701,15.89681,352462224247252992,GALAXY,0.09806379
1237648702987633041,231.711421781244,-1.05177489944937,19.17136,17.6365,16.79415,16.3112,15.8855,1040501154007508992,GALAXY,0.0591519
1237648702987698271,231.94688416133,-1.05907071615318,18.54376,17.53497,17.06017,16.84938,16.74821,1040499229862160384,STAR,0.0003623643
1237648702990909618,239.291167050112,-1.17203254061424,18.90906,16.77826,15.64203,15.06909,14.62788,386217506416650240,GALAXY,0.07848111
1237648702990975286,239.348224757602,-1.04799105574898,19.49714,17.73015,16.85837,16.41145,16.0943,386219430561998848,GALAXY,0.05595941
1237648702990975434,239.427637667948,-1.11463514134894,18.25454,17.27299,16.89655,16.57029,16.39047,386219980317812736,GALAXY,0.05550607
1237648702991040781,239.479309330548,-1.15709946130004,18.73142,17.61605,17.08573,16.72253,16.52474,386208160567814144,GALAXY,0.05555867
1237648702991106323,239.638584719007,-1.19397253379724,18.96627,17.07191,16.10512,15.62601,15.22375,386197440329443328,GALAXY,0.05599486
1237648702991171932,239.814738453073,-1.17327785513947,19.43128,18.08746,17.36454,16.96396,16.68875,386198814718978048,GALAXY,0.1020495
1237648702991303071,240.158780040969,-1.1119005141701,18.58327,16.46627,15.39938,14.88185,14.47307,387386837049567232,GALAXY,0.05121299
1237648702991368507,240.263150217127,-1.15723913239417,18.48978,16.27312,15.18054,14.6564,14.2727,387376391689103360,GALAXY,0.05815966
1237648702991434184,240.47556848649,-1.2192473761345,18.60364,16.66134,15.66368,15.16306,14.79757,387375841933289472,GALAXY,0.0578673
1237648702991630491,240.799299094101,-1.19717131390939,19.35331,17.29564,16.26735,15.76802,15.37816,387347254630967296,GALAXY,0.06031899
1237648702991696354,241.029896406624,-1.08363581073144,19.27728,17.29287,16.17106,15.60136,15.18787,387336534392596480,GALAXY,0.07281286
1237648702991892496,241.423680070409,-1.09663849826275,18.73881,17.47087,16.92612,16.7105,16.58493,387311520503064576,STAR,6.862907E-05
1237648702991892866,241.512206922511,-1.11640378716095,19.29878,17.11587,16.0039,15.51073,15.06401,388513836417705984,GALAXY,0.1056013
1237648702991958478,241.647554914398,-1.19650248230271,17.93357,15.96637,15.00565,14.53651,14.17054,388517959586310144,GALAXY,0.03310981
1237648702992023572,241.697250633084,-1.10164170200446,17.8066,15.60772,14.55069,13.99383,13.53825,388517134952589312,GALAXY,0.03391345
1237648702992089588,241.948576008892,-1.1561359605118,19.29225,17.82751,17.08445,16.64282,16.37393,388502566423521280,GALAXY,0.0717506
1237648702992155134,242.106324033299,-1.21473000712326,18.38394,17.33191,16.83154,16.5251,16.28992,388495419597940736,GALAXY,0.03480103
1237648702992155520,242.115617042027,-1.22970990381879,19.37571,18.15088,17.58716,17.28167,17.0926,388495969353754624,GALAXY,0.03025491
1237648702992220613,242.259329848824,-1.10493257213757,19.47313,18.10441,17.48475,17.08096,16.87692,388495694475847680,GALAXY,0.07978477
1237648702992351918,242.480488552338,-1.12361323806098,19.42297,17.80215,16.99701,16.54752,16.24635,388469031318874112,GALAXY,0.07082564
1237648702992417025,242.725326538881,-1.20277560634645,17.40601,16.13656,15.44628,15.10748,14.81359,388459960347944960,GALAXY,0.02436887
1237648702992417173,242.645738480494,-1.22898030271821,19.04211,17.91899,17.44339,17.09921,16.96647,388472054975850496,GALAXY,0.06949467
1237648702992482660,242.887774552615,-1.19806829958071,19.02619,17.68067,17.10424,16.74693,16.54543,388461059859572736,GALAXY,0.04365295
1237648702992482862,242.829027101658,-1.2221323347989,18.72002,17.53242,17.03996,16.6783,16.52227,388458585958410240,GALAXY,0.07083251
1237648702992483288,242.844269580442,-1.23168272069111,19.25071,18.10252,17.63223,17.35456,17.23234,388460510103758848,GALAXY,0.07017241
1237648702992613735,243.058109307194,-1.07362501274618,19.48677,18.22789,17.69179,17.36511,17.17958,388449789865388032,GALAXY,0.04280972
1237648702992678957,243.213021351198,-1.13062349887465,18.91267,17.09834,16.16895,15.68185,15.30876,388447315964225536,GALAXY,0.04927764
1237648704040337444,183.683716523646,-0.395313231810218,17.34593,16.16585,15.68403,15.49652,15.38112,3722255411169042432,STAR,2.729951E-06
1237648704040337448,183.693207403921,-0.22097262618145,18.7236,17.64976,17.21809,17.05309,16.97286,363696208453068800,STAR,4.012775E-05
1237648704040337466,183.712438375333,-0.271247253945772,16.74271,15.72396,15.35649,15.21082,15.13628,3722255686046949376,STAR,0.0008494364
1237648704040337510,183.629587337272,-0.378631429984798,19.25767,18.23024,17.77075,17.48002,17.3504,324345243510007808,GALAXY,0.122218
1237648704040403087,183.827057610032,-0.405609474465845,19.47554,17.73802,17.03194,16.73084,16.55039,3722254311657414656,STAR,0.0005512136
1237648704040403101,183.833969469766,-0.398050254913946,18.5283,16.9418,16.35994,16.02375,15.71289,324345518387914752,GALAXY,0.02078613
1237648704040403119,183.848615656968,-0.330918949335888,19.0516,17.59235,16.766,16.37736,16.04179,324346068143728640,GALAXY,0.1208378
1237648704040403224,183.798817088353,-0.400106370247325,18.15787,17.07919,16.73521,16.63482,16.51228,323174813768116224,GALAXY,0.02087503
1237648704040468484,183.916464317955,-0.323746637994124,18.69441,17.77649,17.47822,17.4196,17.34867,3722245790442299392,STAR,0.0005767694
1237648704040468547,183.998639101677,-0.294081252917495,17.50332,16.49389,16.07529,15.91012,15.82738,323166292553000960,STAR,0.0007640862
1237648704040468576,184.06411670075,-0.295371157431257,17.8041,16.61079,16.16437,16.02581,15.95671,323164368407652352,STAR,0.0001607931
1237648704040534048,184.143568148115,-0.302391918332596,18.01475,16.57148,16.00959,15.77342,15.67464,3722244416052764672,STAR,3.042781E-05
1237648704040534133,184.168533937023,-0.329587065377616,19.39528,18.41646,18.1353,18.03432,18.02707,3722242491907416064,STAR,0.0003202514
1237648704040599586,184.294546917373,-0.346909374127963,17.48398,16.31935,15.90973,15.75751,15.70039,3722233695814393856,STAR,4.154108E-05
1237648704040599593,184.308816933166,-0.354452313560065,18.9849,17.79852,17.37066,17.18238,17.13227,363671469441443840,STAR,8.180254E-05
1237648704040599659,184.260277983104,-0.317627573243269,18.69438,17.65455,17.29097,17.00188,16.93303,324335622783264768,GALAXY,0.06240619
1237648704040665104,184.388936339685,-0.315995214874796,19.05956,17.71527,17.15119,16.92668,16.85464,3722235894837649408,STAR,0.0005744936
1237648704040665124,184.45086994556,-0.313258833745743,17.21492,15.74852,15.1818,14.94795,14.83758,3722233970692300800,STAR,8.707776E-05
1237648704040665167,184.376657300419,-0.231992214111712,18.94292,17.89739,17.43994,17.14471,16.93739,323144027442538496,GALAXY,0.03393133
1237648704040665238,184.468480542421,-0.362120825933214,17.55392,15.89003,15.11452,14.71822,14.39248,323142103297189888,GALAXY,0.04032281
1237648704040665256,184.49716143973,-0.33311069950141,18.73461,17.50934,16.92226,16.58426,16.38179,323143752564631552,GALAXY,0.07144404
1237648704040730692,184.567088787686,-0.266949740102336,16.08275,14.75951,14.29764,14.10716,14.06196,2880104807719266304,GALAXY,0
1237648704040730756,184.544377230151,-0.248444453619984,19.23208,18.0236,17.50595,17.26922,17.15398,3722386527930654720,STAR,0.0009527221
1237648704040730821,184.640721205121,-0.411852939300198,19.45165,17.97391,17.17748,16.68635,16.39936,324311433527453696,GALAXY,0.1079633
1237648704040796231,184.667625804345,-0.256469243221888,17.6073,15.86177,14.9941,14.56952,14.20508,324314182306523136,GALAXY,0.07977457
1237648704040796277,184.743122661283,-0.368792407894634,19.09011,18.36271,18.14853,17.89309,17.97664,324312258161174528,GALAXY,0.1027977
1237648704040861791,184.836889316315,-0.241537684428958,18.50986,16.7641,16.03627,15.64596,15.33152,324306760603035648,GALAXY,0.05043545
1237648704040861800,184.852447835098,-0.294097402999458,18.04692,17.05355,16.71546,16.54309,16.36159,324307035480942592,GALAXY,0.03897807
1237648704040992833,185.173619138939,-0.383077773631214,17.36194,16.19216,15.83601,15.70586,15.69817,2880125698440194048,STAR,0.0001267915
1237648704041123850,185.436053495464,-0.266891282805509,18.13875,17.05503,16.69254,16.5688,16.54955,2891373427732539392,STAR,0.0005022376
1237648704041123862,185.455619661459,-0.21123670906367,18.47038,16.87137,16.30234,16.09953,16.02788,2880115802835544064,STAR,1.268354E-05
1237648704041123869,185.462186501433,-0.353848171348984,18.34395,16.19043,15.45629,15.21168,15.12749,2880114428446009344,STAR,2.395276E-05
1237648704041123897,185.529503851403,-0.363862449160882,18.34458,17.02294,16.53276,16.33753,16.27815,2880113054056474624,STAR,2.999612E-05
1237648704041189387,185.618571112643,-0.365219645879656,18.21676,17.26715,16.92721,16.81066,16.76025,2880116352591357952,STAR,0.0003118055
1237648704041254956,185.795332656105,-0.282744749040963,18.18394,17.0164,16.81375,16.73615,16.72193,2880107006742521856,STAR,0.0003143609
1237648704041254972,185.821617715374,-0.34205250399266,18.60915,17.0705,16.49681,16.29349,16.22475,2880102058940196864,STAR,0.0001187122
1237648704041255002,185.71947475836,-0.30726005736785,19.31843,18.06055,17.59505,17.30064,17.15932,324275974277457920,GALAXY,0.1072253
1237648704041255037,185.749696222004,-0.293087571904347,19.01232,18.03671,17.70568,17.55776,17.48117,325470318615357440,GALAXY,0.03024547
1237648704041320480,185.899998326231,-0.261068571947163,19.40635,16.89027,15.84331,15.48278,15.40131,2880105082597173248,STAR,3.122085E-05
1237648704041386023,186.063005414119,-0.383730067487518,17.24687,16.21049,16.18936,16.22862,16.30079,2880101234306476032,STAR,0.001258611
1237648704041386025,186.082972427734,-0.227430240935001,18.80058,17.6041,17.3491,17.27336,17.23848,324266078672807936,STAR,0.0006906021
1237648704041386035,186.091588599021,-0.28088073461391,17.6888,16.27396,15.74296,15.55057,15.47986,2880099035283220480,STAR,8.999209E-05
1237648704041386042,186.095608992301,-0.305421545050954,18.15803,17.50762,17.25705,17.17244,17.18857,2880097935771592704,QSO,0.0004606231
1237648704041386050,186.144447401079,-0.215865167827457,18.9944,18.05957,17.78465,17.6944,17.66945,2891351712377890816,STAR,8.325694E-05
1237648704041386054,186.14670902212,-0.302539877745104,18.96439,18.1106,17.83865,17.73008,17.72899,4330218827671072768,STAR,0.0009755908
1237648704041451609,186.21328632525,-0.304115174681795,18.70601,16.847,16.12733,15.86509,15.71564,2880100409672755200,STAR,1.79226E-05
1237648704041451688,186.24517683839,-0.244158921957243,18.78115,17.60725,17.00784,16.67363,16.47247,324267178184435712,GALAXY,0.102797
1237648704041517062,186.336440937411,-0.3817884688364,18.0683,17.10536,16.78986,16.63788,16.60825,2880092713091360768,STAR,0.0007045962
1237648704041517178,186.459282672573,-0.360506861963781,18.65965,17.41861,16.93038,16.74993,16.70262,325451077161871360,STAR,2.982941E-05
1237648704041582685,186.508744125083,-0.28193042684362,19.20754,18.28202,17.98328,17.86095,17.85651,4331399157782343680,STAR,0.0003245082
1237648704041582692,186.516478630484,-0.313974107812479,18.22266,16.50616,15.61944,15.14893,14.75827,325446129359546368,GALAXY,0.07950722
1237648704041648131,186.616949986102,-0.347562099405161,16.99398,15.45777,14.85249,14.65483,14.59267,2880083367242524672,STAR,7.641783E-05
1237648704041648255,186.715252960851,-0.28317414834404,18.34613,17.00985,16.45423,16.20849,16.08167,2880081168219269120,STAR,0.0003486575
1237648704041713713,186.833927327108,-0.407091525275196,18.53603,16.75793,15.95191,15.68838,15.56231,2880080343585548288,STAR,0.0001743246
1237648704041713727,186.855118817128,-0.247902955299078,16.81627,15.86671,15.60739,15.52398,15.50502,2880083092364617728,STAR,0.0007397696
1237648704041713732,186.880548787954,-0.337642280083384,17.60926,16.39122,15.94435,15.77585,15.7464,2880082542608803840,STAR,9.525628E-05
1237648704041713749,186.761654476507,-0.323730054447755,19.38366,17.59174,16.48701,16.01113,15.61958,325436233754896384,GALAXY,0.1161036
1237648704041713773,186.808715018349,-0.217558112644633,19.43139,17.82774,17.22333,16.96279,16.87343,2880080068707641344,STAR,0.0001518281
1237648704041713785,186.827286086523,-0.407943082567211,19.34182,17.66538,17.00082,16.71934,16.48099,325438432778151936,GALAXY,0.1140467
1237648704041713840,186.904365354167,-0.384038058543593,18.63549,16.46693,15.41218,14.96505,14.61283,325434309609547776,GALAXY,0.1154682
1237648704041779251,186.975294425856,-0.362678835350728,18.72033,17.31376,16.70973,16.42135,16.27131,2880069073591363584,STAR,0.0003879164
1237648704041779281,187.013875965533,-0.353682412381126,17.95116,16.55886,15.97855,15.71685,15.58599,2880074021393688576,STAR,0.001140381
1237648704041779294,187.041289715608,-0.394555365203605,19.4727,18.23861,17.81143,17.64887,17.60911,2891318727029057536,STAR,0.0003122879
1237648704041844767,187.152936054406,-0.273362927064555,18.11581,16.61269,15.94747,15.59383,15.32936,325425513516525568,GALAXY,0.06172443
1237648704041844812,187.072376484206,-0.302509171065511,19.48419,18.57758,18.36506,18.27688,18.31402,2891318452151150592,STAR,0.0003024878
1237648704041910338,187.276595327483,-0.318883357385885,17.1392,16.0251,15.64313,15.5265,15.4969,2891319001906964480,STAR,6.509128E-05
1237648704041910342,187.287041406659,-0.331734318405161,17.90736,16.84209,16.47728,16.35394,16.32675,2891321200930220032,STAR,7.96185E-05
