objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23765E+18,225.0054582,-1.091072113,16.32475,15.41002,15.00167,14.84394,14.72891,1.03817E+18,GALAXY,0.006297647
1.23765E+18,225.1346435,-1.234671126,17.77235,16.60964,16.73945,16.84984,16.95081,3.49098E+17,STAR,4.67E-05
1.23765E+18,225.1571315,-1.073998864,19.13368,17.17648,16.12352,15.66259,15.27726,3.491E+17,GALAXY,0.111066
1.23765E+18,225.6711975,-1.105925956,18.7501,16.81842,15.94924,15.5382,15.21549,3.49085E+17,GALAXY,0.04896335
1.23765E+18,226.0331983,-1.202111068,18.94942,17.55173,16.97975,16.63628,16.44447,3.49063E+17,GALAXY,0.0489473
1.23765E+18,226.0627472,-1.051843845,18.69559,17.79957,17.47664,17.26259,17.13467,3.49063E+17,GALAXY,0.03721606
1.23765E+18,226.2703728,-1.109718293,19.48274,17.40926,16.40999,16.03386,15.69833,3.49053E+17,GALAXY,0.03695014
1.23765E+18,226.2131041,-1.105479659,19.13487,18.07283,17.60269,17.33822,17.18361,3.49052E+17,GALAXY,0.03610019
1.23765E+18,226.5642729,-1.142700429,17.8036,16.74977,16.56732,16.496,16.54162,3.49042E+17,STAR,0.000143416
1.23765E+18,226.6638424,-1.106379615,18.74409,16.78402,15.87356,15.43929,15.11899,3.4904E+17,GALAXY,0.04922194
1.23765E+18,226.6880237,-1.231714684,17.38196,15.35265,14.33847,13.85383,13.43547,3.50232E+17,GALAXY,0.07114076
1.23765E+18,226.6087652,-1.1927925,19.43731,17.5745,16.67424,16.2035,15.83954,3.49043E+17,GALAXY,0.07065763
1.23765E+18,226.7258334,-1.126492426,19.21864,17.44243,16.5437,16.10794,15.81043,3.49031E+17,GALAXY,0.07012011
1.23765E+18,226.7767254,-1.148436326,17.35155,16.4754,16.73235,16.87546,17.05527,3.49029E+17,STAR,0.00047669
1.23765E+18,226.8644095,-1.055796443,19.28506,17.77808,16.98557,16.53222,16.24195,3.49031E+17,GALAXY,0.07001241
1.23765E+18,226.8288582,-1.200135787,19.34628,18.15885,17.73378,17.53683,17.45547,1.03824E+18,GALAXY,0.06753261
1.23765E+18,226.9251741,-1.143002609,19.4294,17.6902,17.01813,17.07368,16.64288,3.50221E+17,STAR,4.11E-05
1.23765E+18,227.1225901,-1.220719483,19.49383,17.49728,16.51329,16.06234,15.73697,1.0393E+18,GALAXY,0.07933845
1.23765E+18,227.1163169,-1.207896317,18.43549,16.9275,16.20772,15.79527,15.54946,1.03824E+18,GALAXY,0.05488245
1.23765E+18,227.1364594,-1.229277853,18.99107,17.65913,17.02193,16.62654,16.37606,1.0393E+18,GALAXY,0.07885005
1.23765E+18,227.1994702,-1.173082246,18.8154,16.83932,15.92921,15.49269,15.20802,3.50225E+17,GALAXY,0.05495768
1.23765E+18,227.5474012,-1.195314939,18.43055,16.40934,15.45014,15.0094,14.65738,1.0393E+18,GALAXY,0.07084415
1.23765E+18,227.5503872,-1.190894898,18.8075,16.77878,15.84043,15.41671,15.08839,3.50191E+17,GALAXY,0.07015107
1.23765E+18,227.5464921,-1.246324298,19.1075,17.8144,17.27046,16.99206,16.82328,3.5019E+17,GALAXY,0.03653381
1.23765E+18,227.6480086,-1.113602576,19.30625,18.17709,17.72769,17.55409,17.46221,3.50193E+17,STAR,0.00012344
1.23765E+18,227.7023574,-1.062505745,18.20624,16.17735,15.24627,14.81424,14.46263,1.0393E+18,GALAXY,0.05415484
1.23765E+18,227.8554703,-1.123025913,19.17076,17.95136,17.4387,17.15449,17.03698,1.03931E+18,GALAXY,0.05414075
